bwt_month,bwt_day,bwt_hour,cv_time_avg,xcv_time_avg,pv_time_avg,xpv_time_avg,pv_ready_lanes_time_avg,ped_time_avg,ped_ready_lanes_time_avg
3,4,11,0,0,39,13,29,19,0
3,4,12,0,0,45,13,30,23,0
3,4,13,0,0,51,13,39,24,0
3,4,14,0,0,58,13,43,24,0
3,4,15,0,0,48,8,36,19,5
3,4,16,0,0,38,8,28,19,5
3,4,17,0,0,34,6,24,19,5
3,4,18,0,0,33,9,24,19,5
3,4,19,0,0,33,9,24,19,5
3,4,20,0,0,29,8,19,15,5
3,4,21,0,0,19,6,16,8,5
3,4,22,0,0,18,6,16,5,5
3,4,23,0,0,21,8,18,5,3
3,5,0,0,0,23,5,18,5,3
3,5,1,0,0,10,5,8,5,3
3,5,2,0,0,10,5,8,8,3
3,5,3,0,0,9,5,8,5,3
3,5,4,0,0,13,5,11,5,3
3,5,5,0,0,21,5,18,5,3
3,5,6,0,0,25,4,18,5,3
3,5,7,0,0,24,8,19,6,0
3,5,8,0,0,26,10,21,8,0
3,5,9,0,0,28,11,23,9,0
3,5,10,0,0,25,10,20,9,0
3,5,11,0,0,36,13,30,14,0
3,5,12,0,0,39,13,31,14,0
3,5,13,0,0,41,13,34,14,0
3,5,14,0,0,46,14,39,15,0
3,5,15,0,0,38,11,35,16,4
3,5,16,0,0,38,10,31,15,4
3,5,17,0,0,39,9,34,13,4
3,5,18,0,0,39,10,34,9,4
3,5,19,0,0,41,9,35,11,4
3,5,20,0,0,36,9,34,11,4
3,5,21,0,0,36,9,29,11,4
3,5,22,0,0,36,9,30,9,4
3,5,23,0,0,40,13,31,5,5
3,6,0,0,0,44,11,30,5,5
3,6,1,0,0,42,10,31,5,5
3,6,2,0,0,41,8,27,5,5
3,6,3,0,0,31,6,21,5,5
3,6,4,0,0,19,7,18,5,5
3,6,5,0,0,26,5,20,5,5
3,6,6,0,0,27,6,24,5,5
3,6,7,0,0,26,7,23,7,7
3,6,8,0,0,30,7,24,7,7
3,6,9,0,0,20,8,19,6,6
3,6,10,0,0,29,8,23,7,7
3,6,11,0,0,31,10,27,11,9
3,6,12,0,0,39,9,30,17,9
3,6,13,0,0,45,9,34,18,10
3,6,14,0,0,50,12,38,19,11
3,6,15,0,0,56,10,38,20,4
3,6,16,0,0,66,10,50,24,4
3,6,17,0,0,68,10,48,26,4
3,6,18,0,0,63,10,47,24,4
3,6,19,0,0,59,11,42,18,3
3,6,20,0,0,55,9,29,10,2
3,6,21,0,0,52,8,37,12,2
3,6,22,0,0,51,7,33,5,1
3,6,23,0,0,48,5,30,5,5
4,0,0,0,0,15,5,9,5,5
4,0,1,0,0,18,5,11,5,5
4,0,2,0,0,20,5,14,5,5
4,0,3,0,0,30,5,20,5,5
4,0,4,0,0,44,6,29,11,11
4,0,5,0,0,54,10,38,18,18
4,0,6,0,0,58,11,40,21,21
4,0,7,0,0,63,9,44,19,16
4,0,8,0,0,59,10,41,21,18
4,0,9,0,0,53,10,40,20,18
4,0,10,0,0,50,10,35,13,10
4,0,11,0,0,46,10,30,10,9
4,0,12,0,0,48,10,33,14,11
4,0,13,0,0,51,11,35,14,11
4,0,14,0,0,61,10,39,15,14
4,0,15,0,0,58,8,33,13,3
4,0,16,0,0,50,6,29,11,3
4,0,17,0,0,36,6,21,8,1
4,0,18,0,0,31,6,18,5,1
4,0,19,0,0,30,5,19,5,1
4,0,20,0,0,29,5,16,5,1
4,0,21,0,0,10,5,8,5,1
4,0,22,0,0,10,5,6,5,1
4,0,23,0,0,14,8,14,5,5
4,1,0,0,0,9,5,6,5,5
4,1,1,0,0,9,5,6,5,5
4,1,2,0,0,13,5,11,5,5
4,1,3,0,0,20,5,19,5,5
4,1,4,0,0,38,9,31,18,18
4,1,5,0,0,63,13,46,29,29
4,1,6,0,0,68,14,55,35,35
4,1,7,0,0,70,14,56,30,24
4,1,8,0,0,60,10,48,19,16
4,1,9,0,0,54,10,45,14,13
4,1,10,0,0,46,10,34,6,5
4,1,11,0,0,41,9,25,6,5
4,1,12,0,0,49,10,28,9,8
4,1,13,0,0,56,10,30,14,13
4,1,14,0,0,65,11,36,15,14
4,1,15,0,0,69,13,46,6,3
4,1,16,0,0,65,13,44,5,3
4,1,17,0,0,58,9,38,5,3
4,1,18,0,0,55,8,35,6,3
4,1,19,0,0,49,8,29,6,3
4,1,20,0,0,38,6,25,5,3
4,1,21,0,0,25,5,20,5,3
4,1,22,0,0,23,6,19,5,3
4,1,23,0,0,25,5,19,5,5
4,2,0,0,0,16,5,11,5,5
4,2,1,0,0,9,5,6,5,5
4,2,2,0,0,14,5,11,5,5
4,2,3,0,0,23,5,19,6,6
4,2,4,0,0,37,8,28,18,18
4,2,5,0,0,52,8,39,29,29
4,2,6,0,0,60,12,47,20,20
4,2,7,0,0,64,10,48,19,3
4,2,8,0,0,69,11,48,18,2
4,2,9,0,0,65,12,48,20,2
4,2,10,0,0,58,9,42,18,2
4,2,11,0,0,59,9,41,14,2
4,2,12,0,0,58,11,39,16,4
4,2,13,0,0,65,12,41,15,5
4,2,14,0,0,67,14,43,17,7
4,2,15,0,0,62,9,37,7,5
4,2,16,0,0,54,7,32,7,5
4,2,17,0,0,44,6,27,5,3
4,2,18,0,0,36,8,23,5,3
4,2,19,0,0,32,7,22,5,3
4,2,20,0,0,31,6,19,5,3
4,2,21,0,0,28,5,18,5,3
4,2,22,0,0,24,5,14,5,3
4,2,23,0,0,21,5,14,5,5
4,3,0,0,0,18,5,11,5,5
4,3,1,0,0,13,5,9,5,5
4,3,2,0,0,18,5,13,5,5
4,3,3,0,0,31,7,24,8,8
4,3,4,0,0,43,8,36,16,16
4,3,5,0,0,56,11,44,25,25
4,3,6,0,0,61,12,57,36,36
4,3,7,0,0,66,11,52,20,1
4,3,8,0,0,60,10,44,18,1
4,3,9,0,0,50,10,39,13,1
4,3,10,0,0,48,10,36,14,1
4,3,11,0,0,50,11,33,14,1
4,3,12,0,0,49,11,33,14,1
4,3,13,0,0,50,12,40,14,1
4,3,14,0,0,55,14,41,14,1
4,3,15,0,0,67,10,43,8,3
4,3,16,0,0,66,9,41,5,2
4,3,17,0,0,62,8,40,5,2
4,3,18,0,0,60,7,40,5,2
4,3,19,0,0,56,6,37,5,2
4,3,20,0,0,55,6,35,5,2
4,3,21,0,0,51,6,26,5,2
4,3,22,0,0,48,6,22,5,2
4,3,23,0,0,44,4,27,4,4
4,4,0,0,0,9,5,6,5,5
4,4,1,0,0,10,5,6,5,5
4,4,2,0,0,10,5,8,5,5
4,4,3,0,0,14,5,10,5,5
4,4,4,0,0,28,5,20,11,11
4,4,5,0,0,38,9,29,20,20
4,4,6,0,0,44,8,30,16,16
4,4,7,0,0,45,11,30,14,0
4,4,8,0,0,41,13,26,10,0
4,4,9,0,0,39,13,26,14,0
4,4,10,0,0,36,11,26,13,0
4,4,11,0,0,43,10,30,15,0
4,4,12,0,0,48,10,34,15,0
4,4,13,0,0,54,11,38,14,0
4,4,14,0,0,55,11,39,14,0
4,4,15,0,0,48,9,31,5,3
4,4,16,0,0,39,9,29,5,3
4,4,17,0,0,33,8,21,5,3
4,4,18,0,0,25,6,16,5,3
4,4,19,0,0,18,5,13,5,3
4,4,20,0,0,16,5,13,5,3
4,4,21,0,0,11,5,9,5,3
4,4,22,0,0,9,5,8,5,3
4,4,23,0,0,9,5,8,5,5
4,5,0,0,0,5,5,5,5,5
